iter	Logloss
0	0.6700353622
1	0.6466357961
2	0.6245702667
3	0.6059174292
4	0.5912730089
5	0.5761736359
6	0.5612413833
7	0.5479974457
8	0.5356521659
9	0.5248143898
10	0.514617311
11	0.5063470916
12	0.4983237935
13	0.4912594232
14	0.4844027446
15	0.4779385248
16	0.4724609805
17	0.4664207379
18	0.4604840664
19	0.4567722987
20	0.452672863
21	0.4489700022
22	0.4448586459
23	0.4405221716
24	0.4368386417
25	0.4340949492
26	0.4311488184
27	0.4286911382
28	0.4261303131
29	0.4236686464
30	0.4213646887
31	0.4189378714
32	0.4174219041
33	0.4156841279
34	0.4135251203
35	0.4118818735
36	0.4096177238
37	0.4076054105
38	0.4057873869
39	0.404179882
40	0.4027166095
41	0.4015321864
42	0.4002420214
43	0.3986623022
44	0.3972702711
45	0.3958799889
46	0.3941881553
47	0.3927690584
48	0.3911635624
49	0.3892606515
50	0.3878307496
51	0.3864390267
52	0.3854213381
53	0.3836465468
54	0.3827057641
55	0.3812562997
56	0.3798615758
57	0.3791370095
58	0.3777480168
59	0.3771052142
60	0.3753080227
61	0.3746634921
62	0.3731936698
63	0.3720777034
64	0.3702580008
65	0.3688474222
66	0.3680000459
67	0.3664796581
68	0.3656985591
69	0.3648601345
70	0.3638104665
71	0.3633009659
72	0.3621239652
73	0.361152154
74	0.3606184464
75	0.3599725306
76	0.3595473973
77	0.3584911289
78	0.3578388319
79	0.3564193
