iter	Passed	Remaining
0	2	194
1	5	216
2	7	197
3	9	185
4	13	202
5	16	200
6	19	201
7	21	195
8	24	192
9	26	188
10	29	187
11	32	185
12	36	189
13	39	185
14	41	180
15	45	181
16	48	180
17	52	181
18	55	177
19	57	172
20	60	168
21	62	165
22	68	170
23	71	166
24	74	163
25	77	161
26	80	158
27	84	157
28	87	153
29	89	149
30	92	146
31	95	143
32	98	139
33	100	136
34	103	132
35	105	129
36	108	125
37	110	122
38	113	118
39	115	115
40	118	112
41	120	109
42	124	106
43	128	104
44	130	101
45	133	98
46	135	95
47	138	92
48	140	89
49	143	86
50	145	82
51	148	79
52	150	76
53	152	73
54	155	70
55	157	67
56	160	64
57	162	61
58	165	58
59	167	55
60	170	53
61	173	50
62	176	47
63	178	44
64	181	41
65	183	39
66	186	36
67	189	33
68	191	30
69	194	27
70	196	24
71	198	22
72	201	19
73	203	16
74	206	13
75	208	10
76	211	8
77	214	5
78	215	2
79	218	0
