LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,GRADES_SERVED_DESC,STUDENT_COUNT_ALL,FIVE_OR_FEWER_PERCENT_ALL,SIX_TO_FIFTEEN_PERCENT_ALL,OVER_15_PERCENT_ALL,STUDENT_COUNT_INDIAN,FIVE_OR_FEWER_PERCENT_INDIAN,SIX_TO_FIFTEEN_PERCENT_INDIAN,OVER_15_PERCENT_INDIAN,STUDENT_COUNT_ASIAN,FIVE_OR_FEWER_PERCENT_ASIAN,SIX_TO_FIFTEEN_PERCENT_ASIAN,OVER_15_PERCENT_ASIAN,STUDENT_COUNT_BLACK,FIVE_OR_FEWER_PERCENT_BLACK,SIX_TO_FIFTEEN_PERCENT_BLACK,OVER_15_PERCENT_BLACK,STUDENT_COUNT_WHITE,FIVE_OR_FEWER_PERCENT_WHITE,SIX_TO_FIFTEEN_PERCENT_WHITE,OVER_15_PERCENT_WHITE,STUDENT_COUNT_HISPANI,FIVE_OR_FEWER_PERCENT_HISPANI,SIX_TO_FIFTEEN_PERCENT_HISPANI,OVER_15_PERCENT_HISPANI,STUDENT_COUNT_MULTI,FIVE_OR_FEWER_PERCENT_MULTI,SIX_TO_FIFTEEN_PERCENT_MULTI,OVER_15_PERCENT_MULTI,STUDENT_COUNT_FEMALE,FIVE_OR_FEWER_PERCENT_FEMALE,SIX_TO_FIFTEEN_PERCENT_FEMALE,OVER_15_PERCENT_FEMALE,STUDENT_COUNT_MALE,FIVE_OR_FEWER_PERCENT_MALE,SIX_TO_FIFTEEN_PERCENT_MALE,OVER_15_PERCENT_MALE,STUDENT_COUNT_SWD,FIVE_OR_FEWER_PERCENT_SWD,SIX_TO_FIFTEEN_PERCENT_SWD,OVER_15_PERCENT_SWD,STUDENT_COUNT_NOT_SWD,FIVE_OR_FEWER_PERCENT_NOT_SWD,SIX_TO_FIFTEEN_PERCENT_NOT_SWD,OVER_15_PERCENT_NOT_SWD,STUDENT_COUNT_ED,FIVE_OR_FEWER_PERCENT_ED,SIX_TO_FIFTEEN_PERCENT_ED,OVER_15_PERCENT_ED,STUDENT_COUNT_NOT_ED,FIVE_OR_FEWER_PERCENT_NOT_ED,SIX_TO_FIFTEEN_PERCENT_NOT_ED,OVER_15_PERCENT_NOT_ED,STUDENT_COUNT_LEP,FIVE_OR_FEWER_PERCENT_LEP,SIX_TO_FIFTEEN_PERCENT_LEP,OVER_15_PERCENT_LEP,STUDENT_COUNT_MIGRANT,FIVE_OR_FEWER_PERCENT_MIGRANT,SIX_TO_FIFTEEN_PERCENT_MIGRANT,OVER_15_PERCENT_MIGRANT,CHRONIC_ABSENT_PERC_ALL,CHRONIC_ABSENT_PERC_INDIAN,CHRONIC_ABSENT_PERC_ASIAN,CHRONIC_ABSENT_PERC_BLACK,CHRONIC_ABSENT_PERC_WHITE,CHRONIC_ABSENT_PERC_HISPANI,CHRONIC_ABSENT_PERC_MULTI,CHRONIC_ABSENT_PERC_FEMALE,CHRONIC_ABSENT_PERC_MALE,CHRONIC_ABSENT_PERC_SWD,CHRONIC_ABSENT_PERC_NOT_SWD,CHRONIC_ABSENT_PERC_ED,CHRONIC_ABSENT_PERC_NOT_ED,CHRONIC_ABSENT_PERC_LEP,CHRONIC_ABSENT_PERC_MIGRANT,Identifier
2019-20,School,601,Appling County,0103,Appling County High School,"09,10,11,12",1027,55.6,32.9,11.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,218,66.5,26.6,6.9,617,53.5,34.4,12.2,144,51.4,35.4,13.2,39,43.6,35.9,20.5,494,54.9,35.0,10.1,533,56.3,31.0,12.8,136,60.3,25.7,14.0,891,54.9,34.0,11.1,1027,55.6,32.9,11.5,0,0.0,0.0,0.0,22,68.2,18.2,13.6,46,54.3,37.0,8.7,12.1,0.0,0.0,8.3,12.8,11.8,23.1,10.7,13.3,15.4,11.6,12.1,0.0,13.6,8.7,601-103
2019-20,School,605,Baldwin County,0189,Baldwin High School,"09,10,11,12",1267,55.7,29.2,15.1,0,0.0,0.0,0.0,15,80.0,13.3,6.7,902,57.5,27.7,14.7,282,49.6,35.8,14.5,30,60.0,23.3,16.7,38,44.7,26.3,28.9,655,55.4,29.5,15.1,612,56.0,28.9,15.0,154,50.6,31.2,18.2,1113,56.4,28.9,14.6,1267,55.7,29.2,15.1,0,0.0,0.0,0.0,12,50.0,33.3,16.7,0,0.0,0.0,0.0,14.5,0.0,6.7,13.2,17.7,16.7,23.7,14.0,15.0,22.7,13.4,14.5,0.0,16.7,0.0,605-189
2019-20,School,606,Banks County,0199,Banks County High School,"09,10,11,12",904,56.0,28.0,16.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,18,55.6,38.9,5.6,777,54.4,28.7,16.9,83,63.9,25.3,10.8,21,71.4,9.5,19.0,424,56.1,27.1,16.7,480,55.8,28.8,15.4,134,43.3,31.3,25.4,770,58.2,27.4,14.4,497,47.3,31.4,21.3,407,66.6,23.8,9.6,20,60.0,15.0,25.0,0,0.0,0.0,0.0,15.9,0.0,0.0,5.6,16.5,12.0,23.8,16.3,15.6,23.1,14.7,20.5,10.3,20.0,0.0,606-199
2019-20,School,607,Barrow County,0101,Apalachee High School,"09,10,11,12",2077,53.3,33.7,13.0,0,0.0,0.0,0.0,81,56.8,37.0,6.2,342,55.8,32.2,12.0,1117,51.2,37.1,11.7,423,57.7,27.2,15.1,109,48.6,27.5,23.9,1005,51.7,35.8,12.4,1072,54.8,31.7,13.5,302,46.0,35.4,18.5,1775,54.5,33.4,12.1,934,49.0,36.0,15.0,1143,56.8,31.8,11.4,130,50.0,31.5,18.5,0,0.0,0.0,0.0,14.8,0.0,8.6,16.4,13.3,14.9,27.5,14.0,15.6,24.5,13.2,14.1,15.4,20.0,0.0,607-101
2019-20,School,607,Barrow County,3052,Winder-Barrow High School,"09,10,11,12",2216,53.4,33.3,13.3,0,0.0,0.0,0.0,123,72.4,20.3,7.3,334,50.6,34.4,15.0,1249,50.8,35.9,13.3,417,57.6,29.3,13.2,89,56.2,28.1,15.7,1084,52.2,33.4,14.4,1132,54.6,33.2,12.2,291,47.4,37.5,15.1,1925,54.3,32.7,13.0,933,48.4,34.7,16.8,1283,57.1,32.3,10.7,132,63.6,22.7,13.6,0,0.0,0.0,0.0,15.7,0.0,6.5,17.4,15.6,15.8,23.6,16.8,14.7,18.6,15.3,17.6,14.3,16.7,0.0,607-3052
2019-20,School,608,Bartow County,0105,Adairsville High School,"09,10,11,12",1001,57.0,33.4,9.6,0,0.0,0.0,0.0,0,0.0,0.0,0.0,55,69.1,20.0,10.9,821,54.6,34.8,10.6,80,67.5,32.5,0.0,36,66.7,27.8,5.6,490,55.1,33.7,11.2,511,58.9,33.1,8.0,138,58.0,30.4,11.6,863,56.9,33.8,9.3,519,50.3,38.2,11.6,482,64.3,28.2,7.5,20,70.0,30.0,0.0,0,0.0,0.0,0.0,10.2,0.0,0.0,12.7,11.0,1.3,11.1,10.8,9.6,15.9,9.3,12.9,7.3,0.0,0.0,608-105
2019-20,School,608,Bartow County,0114,Cass High School,"09,10,11,12",1585,47.2,36.2,16.7,0,0.0,0.0,0.0,41,85.4,14.6,0.0,248,50.0,38.7,11.3,920,44.9,37.1,18.0,287,47.7,36.2,16.0,88,44.3,29.5,26.1,783,47.0,35.1,17.9,802,47.4,37.2,15.5,200,44.5,38.5,17.0,1385,47.6,35.8,16.6,953,41.8,38.7,19.5,632,55.4,32.3,12.3,71,50.7,40.8,8.5,0,0.0,0.0,0.0,16.5,0.0,0.0,13.3,17.4,15.0,27.3,16.9,16.1,21.5,15.7,19.6,11.7,9.9,0.0,608-114
2019-20,School,608,Bartow County,0198,Woodland High School,"09,10,11,12",1573,44.7,38.0,17.4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,108,56.5,30.6,13.0,1170,42.4,39.0,18.6,229,53.7,34.5,11.8,61,32.8,44.3,23.0,763,41.5,39.7,18.7,810,47.7,36.3,16.0,172,43.0,36.6,20.3,1401,44.9,38.1,17.0,834,41.2,37.5,21.2,739,48.6,38.4,13.0,39,69.2,28.2,2.6,0,0.0,0.0,0.0,17.4,0.0,0.0,13.9,18.4,12.7,24.6,19.0,15.9,23.8,16.6,20.9,13.5,17.9,0.0,608-198
2019-20,School,609,Ben Hill County,0291,Fitzgerald High School,"09,10,11,12",845,61.2,26.2,12.7,0,0.0,0.0,0.0,0,0.0,0.0,0.0,373,61.9,24.9,13.1,315,56.8,29.8,13.3,125,71.2,23.2,5.6,23,56.5,13.0,30.4,421,62.2,24.7,13.1,424,60.1,27.6,12.3,131,54.2,32.1,13.7,714,62.5,25.1,12.5,845,61.2,26.2,12.7,0,0.0,0.0,0.0,13,69.2,23.1,7.7,0,0.0,0.0,0.0,14.1,0.0,0.0,15.0,15.9,4.8,21.7,13.5,14.6,18.3,13.3,14.1,0.0,7.7,0.0,609-291
2019-20,School,610,Berrien County,0101,Berrien High School,"09,10,11,12",883,69.9,20.6,9.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,111,68.5,22.5,9.0,645,71.2,19.5,9.3,92,65.2,25.0,9.8,26,57.7,26.9,15.4,428,72.7,18.5,8.9,455,67.3,22.6,10.1,95,64.2,23.2,12.6,788,70.6,20.3,9.1,415,58.6,24.3,17.1,468,79.9,17.3,2.8,13,76.9,23.1,0.0,25,56.0,28.0,16.0,10.2,0.0,0.0,9.0,10.1,12.0,15.4,10.7,9.7,13.7,9.8,16.6,4.5,0.0,20.0,610-101
