DETAIL_LVL_DESC,INSTN_NUMBER,SCHOOL_DSTRCT_CD,LONG_SCHOOL_YEAR,INSTN_NAME,SCHOOL_DSTRCT_NM,GRADES_SERVED_DESC,ENROLL_PERCENT_ASIAN,ENROLL_PERCENT_NATIVE,ENROLL_PERCENT_BLACK,ENROLL_PERCENT_HISPANIC,ENROLL_PERCENT_MULTIRACIAL,ENROLL_PERCENT_WHITE,ENROLL_PERCENT_MIGRANT,ENROLL_PERCENT_ED,ENROLL_PERCENT_SWD,ENROLL_PERCENT_LEP,ENROLL_COUNT_REMEDIAL_GR_6_8,ENROLL_PCT_REMEDIAL_GR_6_8,ENROLL_COUNT_EIP_K_5,ENROLL_PERCENT_EIP_K_5,ENROLL_COUNT_REMEDIAL_GR_9_12,ENROLL_PCT_REMEDIAL_GR_9_12,ENROLL_COUNT_SPECIAL_ED_K12,ENROLL_PCT_SPECIAL_ED_K12,ENROLL_COUNT_ESOL,ENROLL_PCT_ESOL,ENROLL_COUNT_SPECIAL_ED_PK,ENROLL_PCT_SPECIAL_ED_PK,ENROLL_COUNT_VOCATION_9_12,ENROLL_PCT_VOCATION_9_12,ENROLL_COUNT_ALT_PROGRAMS,ENROLL_PCT_ALT_PROGRAMS,ENROLL_COUNT_GIFTED,ENROLL_PCT_GIFTED,ENROLL_PERCENT_MALE,ENROLL_PERCENT_FEMALE,Identifier
School,0103,601,2019-20,Appling County High School,Appling County,"09,10,11,12",1.0,0.0,21.0,14.0,4.0,61.0,5,90.0,12.3,2,,,,,76.0,7.8,120,12.3,11.0,1.1,0,0.0,579.0,59.2,53.0,7.0,59.0,6.0,51.0,49.0,601-103
School,0189,605,2019-20,Baldwin High School,Baldwin County,"09,10,11,12",1.0,0.0,72.0,2.0,3.0,22.0,0,93.0,11.8,1,,,,,265.0,21.8,144,11.8,7.0,0.6,0,0.0,593.0,48.7,15.0,1.6,36.0,3.0,48.0,52.0,605-189
School,0199,606,2019-20,Banks County High School,Banks County,"09,10,11,12",1.0,0.0,2.0,9.0,2.0,86.0,0,51.0,14.6,2,,,,,104.0,12.1,125,14.6,15.0,1.7,0,0.0,620.0,72.2,1.0,0.2,85.0,9.9,54.0,46.0,606-199
School,0101,607,2019-20,Apalachee High School,Barrow County,"09,10,11,12",4.0,0.0,15.0,20.0,5.0,55.0,0,49.0,13.6,6,,,,,483.0,24.6,268,13.6,81.0,4.1,0,0.0,1138.0,57.9,31.0,2.0,212.0,10.8,51.0,49.0,607-101
School,3052,607,2019-20,Winder-Barrow High School,Barrow County,"09,10,11,12",6.0,0.0,15.0,18.0,4.0,57.0,0,45.0,12.9,6,,,,,31.0,1.5,274,12.9,66.0,3.1,0,0.0,1325.0,62.4,29.0,1.8,293.0,13.8,51.0,49.0,607-3052
School,0105,608,2019-20,Adairsville High School,Bartow County,"09,10,11,12",1.0,0.0,6.0,8.0,3.0,82.0,0,43.0,12.7,2,,,,,23.0,2.4,121,12.7,11.0,1.2,0,0.0,532.0,55.8,9.0,1.2,157.0,16.5,50.0,50.0,608-105
School,0114,608,2019-20,Cass High School,Bartow County,"09,10,11,12",3.0,0.0,15.0,18.0,5.0,58.0,0,51.0,12.2,4,,,,,27.0,1.8,182,12.2,36.0,2.4,0,0.0,957.0,64.4,10.0,0.9,169.0,11.4,51.0,49.0,608-114
School,0198,608,2019-20,Woodland High School,Bartow County,"09,10,11,12",0.0,0.0,6.0,15.0,4.0,75.0,0,43.0,10.1,2,,,,,252.0,16.9,150,10.1,18.0,1.2,0,0.0,618.0,41.5,16.0,1.4,190.0,12.8,51.0,49.0,608-198
School,0291,609,2019-20,Fitzgerald High School,Ben Hill County,"09,10,11,12",1.0,0.0,44.0,15.0,3.0,37.0,1,65.0,14.6,1,,,,,426.0,53.1,117,14.6,8.0,1.0,0,0.0,517.0,64.5,9.0,1.5,68.0,8.5,50.0,50.0,609-291
School,0101,610,2019-20,Berrien High School,Berrien County,"09,10,11,12",1.0,0.0,12.0,10.0,3.0,73.0,2,51.0,10.2,1,,,,,162.0,19.4,85,10.2,8.0,1.0,0,0.0,576.0,69.0,14.0,2.2,75.0,9.0,52.0,48.0,610-101
