LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC_sat,TEST_CMPNT_TYP_CD_sat,NATIONAL_NUM_TESTED_CNT_sat,STATE_NUM_TESTED_CNT_sat,DSTRCT_NUM_TESTED_CNT_sat,INSTN_NUM_TESTED_CNT_sat,STATE_AVG_SCORE_VAL_sat,DSTRCT_AVG_SCORE_VAL_sat,INSTN_AVG_SCORE_VAL_sat,Identifier,SUBGRP_DESC_act,TEST_CMPNT_TYP_CD_act,NATIONAL_NUM_TESTED_CNT_act,STATE_NUM_TESTED_CNT_act,DSTRCT_NUM_TESTED_CNT_act,INSTN_NUM_TESTED_CNT_act,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL_act,DSTRCT_AVG_SCORE_VAL_act,INSTN_AVG_SCORE_VAL_act
2019-20,601,Appling County,103,Appling County High School,All Students,Combined Test Score,2198460.0,43074.0,62,62,1028.0,1005,1005,601-103,All Students,Composite,1670497.0,26810.0,16,16,20.6,20.8,19.0,19.0
2019-20,605,Baldwin County,189,Baldwin High School,All Students,Combined Test Score,2198460.0,43074.0,83,83,1028.0,904,904,605-189,All Students,Composite,1670497.0,26810.0,41,41,20.6,20.8,15.6,15.6
2019-20,606,Banks County,199,Banks County High School,All Students,Combined Test Score,2198460.0,43074.0,68,68,1028.0,1043,1043,606-199,All Students,Composite,1670497.0,26810.0,28,28,20.6,20.8,20.1,20.1
2019-20,607,Barrow County,101,Apalachee High School,All Students,Combined Test Score,2198460.0,43074.0,362,199,1028.0,1004,996,607-101,All Students,Composite,1670497.0,26810.0,181,99,20.6,20.8,19.3,18.8
2019-20,607,Barrow County,3052,Winder-Barrow High School,All Students,Combined Test Score,2198460.0,43074.0,362,163,1028.0,1004,1013,607-3052,All Students,Composite,1670497.0,26810.0,181,82,20.6,20.8,19.3,19.9
2019-20,608,Bartow County,105,Adairsville High School,All Students,Combined Test Score,2198460.0,43074.0,231,60,1028.0,1007,1003,608-105,All Students,Composite,1670497.0,26810.0,181,40,20.6,20.8,20.2,20.5
2019-20,608,Bartow County,114,Cass High School,All Students,Combined Test Score,2198460.0,43074.0,231,88,1028.0,1007,988,608-114,All Students,Composite,1670497.0,26810.0,181,68,20.6,20.8,20.2,19.5
2019-20,608,Bartow County,198,Woodland High School,All Students,Combined Test Score,2198460.0,43074.0,231,83,1028.0,1007,1031,608-198,All Students,Composite,1670497.0,26810.0,181,73,20.6,20.8,20.2,20.7
2019-20,609,Ben Hill County,291,Fitzgerald High School,All Students,Combined Test Score,2198460.0,43074.0,75,75,1028.0,928,928,609-291,All Students,Composite,1670497.0,26810.0,13,13,20.6,20.8,16.0,16.0
2019-20,610,Berrien County,101,Berrien High School,All Students,Combined Test Score,2198460.0,43074.0,71,70,1028.0,1012,1015,610-101,All Students,Composite,1670497.0,26810.0,10,10,20.6,20.8,21.1,21.1
2019-20,611,Bibb County,105,Howard High School,All Students,Combined Test Score,2198460.0,43074.0,599.33,142.33,1028.0,915,977,611-105,All Students,Composite,1670497.0,26810.0,168,51,20.6,20.8,17.7,20.1
2019-20,611,Bibb County,186,Central High School,All Students,Combined Test Score,2198460.0,43074.0,599.33,110,1028.0,915,958,611-186,All Students,Composite,1670497.0,26810.0,168,43,20.6,20.8,17.7,18.4
2019-20,611,Bibb County,198,Westside High School,All Students,Combined Test Score,2198460.0,43074.0,599.33,76,1028.0,915,877,611-198,All Students,Composite,1670497.0,26810.0,168,35,20.6,20.8,17.7,15.3
2019-20,611,Bibb County,204,Rutland High School,All Students,Combined Test Score,2198460.0,43074.0,599.33,110,1028.0,915,922,611-204,All Students,Composite,1670497.0,26810.0,168,12,20.6,20.8,17.7,17.4
2019-20,611,Bibb County,286,Northeast High School,All Students,Combined Test Score,2198460.0,43074.0,599.33,80,1028.0,915,849,611-286,All Students,Composite,1670497.0,26810.0,168,11,20.6,20.8,17.7,14.9
2019-20,611,Bibb County,386,Southwest High School,All Students,Combined Test Score,2198460.0,43074.0,599.33,81,1028.0,915,836,611-386,All Students,Composite,1670497.0,26810.0,168,16,20.6,20.8,17.7,15.6
2019-20,612,Bleckley County,105,Bleckley County High School,All Students,Combined Test Score,2198460.0,43074.0,61,61,1028.0,1107,1107,612-105,All Students,Composite,1670497.0,26810.0,26,26,20.6,20.8,19.0,19.0
2019-20,613,Brantley County,1050,Brantley County High School,All Students,Combined Test Score,2198460.0,43074.0,54,54,1028.0,1034,1034,613-1050,All Students,Composite,1670497.0,26810.0,29,29,20.6,20.8,20.7,20.7
2019-20,614,Brooks County,110,Brooks County High School,All Students,Combined Test Score,2198460.0,43074.0,28,28,1028.0,1025,1025,614-110,All Students,Composite,1670497.0,26810.0,29,29,20.6,20.8,16.8,16.8
2019-20,615,Bryan County,182,Richmond Hill High School,All Students,Combined Test Score,2198460.0,43074.0,289,257,1028.0,1065,1069,615-182,All Students,Composite,1670497.0,26810.0,102,90,20.6,20.8,21.9,22.1
2019-20,615,Bryan County,502,Bryan County High School,All Students,Combined Test Score,2198460.0,43074.0,289,32,1028.0,1065,1032,615-502,All Students,Composite,1670497.0,26810.0,102,12,20.6,20.8,21.9,20.4
2019-20,616,Bulloch County,203,Southeast Bulloch High School,All Students,Combined Test Score,2198460.0,43074.0,174,61,1028.0,1039,1113,616-203,All Students,Composite,1670497.0,26810.0,108,28,20.6,20.8,19.9,20.1
2019-20,616,Bulloch County,2054,Statesboro High School,All Students,Combined Test Score,2198460.0,43074.0,174,93,1028.0,1039,996,616-2054,All Students,Composite,1670497.0,26810.0,108,70,20.6,20.8,19.9,19.7
2019-20,616,Bulloch County,4052,Portal Middle/High School,All Students,Combined Test Score,2198460.0,43074.0,174,20,1028.0,1039,1016,616-4052,All Students,Composite,1670497.0,26810.0,108,10,20.6,20.8,19.9,20.6
2019-20,617,Burke County,288,Burke County High School,All Students,Combined Test Score,2198460.0,43074.0,80,80,1028.0,975,975,617-288,All Students,Composite,1670497.0,26810.0,10,10,20.6,20.8,17.7,17.7
2019-20,618,Butts County,190,Jackson High School,All Students,Combined Test Score,2198460.0,43074.0,89,89,1028.0,971,971,618-190,All Students,Composite,1670497.0,26810.0,52,52,20.6,20.8,18.2,18.2
2019-20,620,Camden County,295,Camden County High School,All Students,Combined Test Score,2198460.0,43074.0,216,216,1028.0,1055,1055,620-295,All Students,Composite,1670497.0,26810.0,108,108,20.6,20.8,20.8,20.8
2019-20,621,Candler County,101,Metter High School,All Students,Combined Test Score,2198460.0,43074.0,37,37,1028.0,1011,1011,621-101,All Students,Composite,1670497.0,26810.0,11,11,20.6,20.8,17.9,17.9
2019-20,622,Carroll County,189,Temple High School,All Students,Combined Test Score,2198460.0,43074.0,268,33,1028.0,1013,1054,622-189,All Students,Composite,1670497.0,26810.0,179,18,20.6,20.8,19.9,21.7
2019-20,622,Carroll County,212,Mt. Zion High School,All Students,Combined Test Score,2198460.0,43074.0,268,23,1028.0,1013,1013,622-212,All Students,Composite,1670497.0,26810.0,179,10,20.6,20.8,19.9,18.6
2019-20,622,Carroll County,2052,Central High School,All Students,Combined Test Score,2198460.0,43074.0,268,72,1028.0,1013,1012,622-2052,All Students,Composite,1670497.0,26810.0,179,65,20.6,20.8,19.9,19.6
2019-20,622,Carroll County,3050,Bowdon High School,All Students,Combined Test Score,2198460.0,43074.0,268,17,1028.0,1013,1024,622-3050,All Students,Composite,1670497.0,26810.0,179,26,20.6,20.8,19.9,20.4
2019-20,622,Carroll County,5054,Villa Rica High School,All Students,Combined Test Score,2198460.0,43074.0,268,123,1028.0,1013,1000,622-5054,All Students,Composite,1670497.0,26810.0,179,60,20.6,20.8,19.9,19.7
2019-20,623,Catoosa County,109,Heritage High School,All Students,Combined Test Score,2198460.0,43074.0,49,32,1028.0,1056,1082,623-109,All Students,Composite,1670497.0,26810.0,267,115,20.6,20.8,19.9,20.7
2019-20,623,Catoosa County,4052,Ringgold High School,All Students,Combined Test Score,2198460.0,43074.0,49,11,1028.0,1056,1015,623-4052,All Students,Composite,1670497.0,26810.0,267,91,20.6,20.8,19.9,19.8
2019-20,625,Savannah-Chatham County,101,Johnson High School,All Students,Combined Test Score,2198460.0,43074.0,785,61,1028.0,993,883,625-101,All Students,Composite,1670497.0,26810.0,261,16,20.6,20.8,19.4,15.3
2019-20,625,Savannah-Chatham County,108,Early College Program,All Students,Combined Test Score,2198460.0,43074.0,785,29,1028.0,993,976,625-108,All Students,Composite,1670497.0,26810.0,261,13,20.6,20.8,19.4,18.8
2019-20,625,Savannah-Chatham County,115,Woodville-Tompkins Technical and Career High School,All Students,Combined Test Score,2198460.0,43074.0,785,92,1028.0,993,951,625-115,All Students,Composite,1670497.0,26810.0,261,18,20.6,20.8,19.4,18.7
2019-20,625,Savannah-Chatham County,117,New Hampstead High School,All Students,Combined Test Score,2198460.0,43074.0,785,79,1028.0,993,904,625-117,All Students,Composite,1670497.0,26810.0,261,19,20.6,20.8,19.4,16.9
2019-20,625,Savannah-Chatham County,411,Islands High School,All Students,Combined Test Score,2198460.0,43074.0,785,121,1028.0,993,1027,625-411,All Students,Composite,1670497.0,26810.0,261,37,20.6,20.8,19.4,20.1
2019-20,625,Savannah-Chatham County,499,Savannah Arts Academy,All Students,Combined Test Score,2198460.0,43074.0,785,159,1028.0,993,1167,625-499,All Students,Composite,1670497.0,26810.0,261,67,20.6,20.8,19.4,25.5
2019-20,625,Savannah-Chatham County,2052,Beach High School,All Students,Combined Test Score,2198460.0,43074.0,785,40,1028.0,993,894,625-2052,All Students,Composite,1670497.0,26810.0,261,45,20.6,20.8,19.4,14.7
2019-20,625,Savannah-Chatham County,5060,Jenkins High School,All Students,Combined Test Score,2198460.0,43074.0,785,79,1028.0,993,1017,625-5060,All Students,Composite,1670497.0,26810.0,261,31,20.6,20.8,19.4,18.5
2019-20,625,Savannah-Chatham County,5070,Windsor Forest High School,All Students,Combined Test Score,2198460.0,43074.0,785,62,1028.0,993,929,625-5070,All Students,Composite,1670497.0,26810.0,261,10,20.6,20.8,19.4,15.0
2019-20,627,Chattooga County,1050,Chattooga High School,All Students,Combined Test Score,2198460.0,43074.0,29,29,1028.0,965,965,627-1050,All Students,Composite,1670497.0,26810.0,43,43,20.6,20.8,19.1,19.1
2019-20,628,Cherokee County,106,Creekview High School,All Students,Combined Test Score,2198460.0,43074.0,1178,249,1028.0,1079,1090,628-106,All Students,Composite,1670497.0,26810.0,970,159,20.6,20.8,22.3,22.4
2019-20,628,Cherokee County,115,River Ridge High School,All Students,Combined Test Score,2198460.0,43074.0,1178,215,1028.0,1079,1061,628-115,All Students,Composite,1670497.0,26810.0,970,120,20.6,20.8,22.3,21.8
2019-20,628,Cherokee County,176,Etowah High School,All Students,Combined Test Score,2198460.0,43074.0,1178,193,1028.0,1079,1076,628-176,All Students,Composite,1670497.0,26810.0,970,199,20.6,20.8,22.3,22.7
2019-20,628,Cherokee County,191,Sequoyah High School,All Students,Combined Test Score,2198460.0,43074.0,1178,162,1028.0,1079,1087,628-191,All Students,Composite,1670497.0,26810.0,970,127,20.6,20.8,22.3,22.7
2019-20,628,Cherokee County,197,Woodstock High School,All Students,Combined Test Score,2198460.0,43074.0,1178,216,1028.0,1079,1073,628-197,All Students,Composite,1670497.0,26810.0,970,166,20.6,20.8,22.3,22.4
2019-20,628,Cherokee County,5050,Cherokee High School,All Students,Combined Test Score,2198460.0,43074.0,1178,135,1028.0,1079,1095,628-5050,All Students,Composite,1670497.0,26810.0,970,196,20.6,20.8,22.3,21.7
2019-20,629,Clarke County,102,Cedar Shoals High School,All Students,Combined Test Score,2198460.0,43074.0,318,145,1028.0,967,951,629-102,All Students,Composite,1670497.0,26810.0,257,120,20.6,20.8,18.5,17.5
2019-20,629,Clarke County,5556,Clarke Central High School,All Students,Combined Test Score,2198460.0,43074.0,318,172,1028.0,967,980,629-5556,All Students,Composite,1670497.0,26810.0,257,137,20.6,20.8,18.5,19.4
2019-20,631,Clayton County,104,Mundy's Mill High School,All Students,Combined Test Score,2198460.0,43074.0,990,81,1028.0,958,910,631-104,All Students,Composite,1670497.0,26810.0,760,106,20.6,20.8,17.4,16.5
2019-20,631,Clayton County,114,Elite Scholars Academy School,All Students,Combined Test Score,2198460.0,43074.0,990,47,1028.0,958,1090,631-114,All Students,Composite,1670497.0,26810.0,760,22,20.6,20.8,17.4,20.7
2019-20,631,Clayton County,115,Charles R. Drew High School,All Students,Combined Test Score,2198460.0,43074.0,990,86,1028.0,958,956,631-115,All Students,Composite,1670497.0,26810.0,760,50,20.6,20.8,17.4,16.9
2019-20,631,Clayton County,190,Lovejoy High School,All Students,Combined Test Score,2198460.0,43074.0,990,176,1028.0,958,939,631-190,All Students,Composite,1670497.0,26810.0,760,109,20.6,20.8,17.4,17.0
2019-20,631,Clayton County,215,Martha Ellen Stilwell School for the Performing Arts,All Students,Combined Test Score,2198460.0,43074.0,990,74,1028.0,958,1065,631-215,All Students,Composite,1670497.0,26810.0,760,61,20.6,20.8,17.4,21.9
2019-20,631,Clayton County,290,Mount Zion High School,All Students,Combined Test Score,2198460.0,43074.0,990,73,1028.0,958,909,631-290,All Students,Composite,1670497.0,26810.0,760,75,20.6,20.8,17.4,16.3
2019-20,631,Clayton County,377,Riverdale High School,All Students,Combined Test Score,2198460.0,43074.0,990,76,1028.0,958,922,631-377,All Students,Composite,1670497.0,26810.0,760,69,20.6,20.8,17.4,17.3
2019-20,631,Clayton County,1054,Forest Park High School,All Students,Combined Test Score,2198460.0,43074.0,990,99,1028.0,958,949,631-1054,All Students,Composite,1670497.0,26810.0,760,70,20.6,20.8,17.4,17.0
2019-20,631,Clayton County,1056,Jonesboro High School,All Students,Combined Test Score,2198460.0,43074.0,990,83,1028.0,958,944,631-1056,All Students,Composite,1670497.0,26810.0,760,48,20.6,20.8,17.4,17.2
2019-20,631,Clayton County,2052,North Clayton High School,All Students,Combined Test Score,2198460.0,43074.0,990,33,1028.0,958,938,631-2052,All Students,Composite,1670497.0,26810.0,760,82,20.6,20.8,17.4,16.4
2019-20,631,Clayton County,4058,Morrow High School,All Students,Combined Test Score,2198460.0,43074.0,990,143,1028.0,958,992,631-4058,All Students,Composite,1670497.0,26810.0,760,65,20.6,20.8,17.4,18.4
2019-20,633,Cobb County,101,Kennesaw Mountain High School,All Students,Combined Test Score,2198460.0,43074.0,3426,185,1028.0,1076,1108,633-101,All Students,Composite,1670497.0,26810.0,2143,118,20.6,20.8,22.5,23.3
2019-20,633,Cobb County,103,Kell High School,All Students,Combined Test Score,2198460.0,43074.0,3426,146,1028.0,1076,1058,633-103,All Students,Composite,1670497.0,26810.0,2143,98,20.6,20.8,22.5,20.8
2019-20,633,Cobb County,175,Walton High School,All Students,Combined Test Score,2198460.0,43074.0,3426,284,1028.0,1076,1240,633-175,All Students,Composite,1670497.0,26810.0,2143,194,20.6,20.8,22.5,27.3
2019-20,633,Cobb County,188,Pope High School,All Students,Combined Test Score,2198460.0,43074.0,3426,193,1028.0,1076,1161,633-188,All Students,Composite,1670497.0,26810.0,2143,160,20.6,20.8,22.5,25.5
